news_id,category,subcategory,title,abstract
N38324,health,medical,"How to Get Rid of Skin Tags, According to a Dermatologist","They seem harmless, but there's a very good reason you shouldn't ignore them. The post How to Get Rid of Skin Tags, According to a Dermatologist appeared first on Reader's Digest."
N30290,foodanddrink,restaurantsandnews,The Real Reason McDonald's Keeps the Filet-O-Fish on Their Menu,It's something of an underdog story.
N6950,health,nutrition,I Overate at Dinner Until I Started Doing This 1 Simple Thing on Sundays (It Takes 10 Minutes!),Another reason Sunday is the best day to meal prep.
N27289,lifestyle,voices,Why I'm Done Celebrating The Accomplishments Of Couples,"What is real? How do you define real? - Morpheus, The Matrix, 1999 I've had the ""summer of six weddings."" The ""spring of seven baby showers."" The ""year with nine bachelorette weekends""   not parties, but whole weekends for some reason. And while I could tell tales of the financial strain imposed when a single person celebrates other people for their entire adulthood   and I do serve that tea boiling   instead I want to talk about feelings...."
N60724,lifestyle,voices,I'm A Queer Woman Dating A Trans Man   & No One Knows,"I'm a queer woman partnered with a transgender man, but everyone assumes we're a heterosexual couple. On the surface, we're the quintessential Brooklyn duo: We have tasteful tattoos and piercings, we shop at food co-ops, we attend spin class together, and we're creative yet gainfully employed. But while this relationship afforded me the privilege of banal nonconformity, I lost a piece of myself when I got together with my once-gym buddy, James...."
N13974,sports,more_sports,Selfies In Sports,The best images of sports figures saying cheese!
N53861,lifestyle,voices,My Immigrant Parents Wanted A Better Life For Me. This Is Why I Chose My Path Over Theirs.,"My father's family left Greece and emigrated to the United States when he wasa teenager. As many come to learn when pursuing the American dream, it wasn'tall rainbows and white picket fences. My grandparents, who didn't speakEnglish at the time, struggled to adjust to their new life far from friendsand family. While they spent 12 to 14 hours a day working toward the betterlife that they had dreamed of, my dad skipped out on his high school..."
N53615,health,medical,Here's What It Means If You Have Ridges on Your Nails,"They don't make for the prettiest of manicures, but are they something more than a cosmetic problem?"
N61811,lifestyle,lifestyleroyals,"Archie's Photo Album: Prince Harry, Duchess Meghan's Royal Baby",So cute!
N9047,lifestyle,lifestylebuzz,Here's What 'Cultural Appropriation' Actually Means   and Why It's Wrong,"The questions you've been afraid to ask, answered."
N38556,entertainment,celebrity,All the times royals have met A-list celebs,See all the moments the British royal family rubbed elbows with Hollywood stars.
N54752,entertainment,celebrity,How the biggest stars of the decade have changed,Find out what's happened to Hollywood's biggest stars over the last 10 years from 2010 to 2019.
N37994,lifestyle,voices,"No, Not Everyone Is Beautiful, And We'd All Be Better Off If We Stopped Saying We Are","After I recently made a comment on Twitter calling out a well-known game showhost on his privilege, I received a lot of support from people who also foundhis post problematic. Those who agreed with me gave specific reasons why theyfelt that way too. Those who did not agree with me went a different route.Instead of countering my argument with one of their own, they attacked mylooks. Some commented on my weight, others on my general appearance,..."
N18774,health,medical,Doctors warn addiction of 'human Ken doll' has gotten dangerous,"Rodrigo Alves has spent more than $750,000 on 72 cosmetic surgeries."
N6074,finance,finance-real-estate,This stately home is having the ultimate yard sale,"Nicky Haslam's English country estate, The Hunting Lodge, is filled with precious treasures and almost all of them will be sold at auction next month."
N44698,travel,traveltripideas,The most exclusive hotel in every state,"All these hotels have just one thing in common   guests just can't get enough of them. From celebrity favourites and ultra-small boutique stays to outrageously expensive suites, you'll have to either whip out the credit card or patiently wait to bag a night at one of these exclusive hotels in America."
N36793,foodanddrink,recipes,Your Thanksgiving Guests Will Be Very Thankful for Our Favorite Turkey Recipes,What's Thanksgiving without the star of the show?
N32708,lifestyle,lifestylecareer,Why You Shouldn't Work For Money   and What To Work For Instead,Increase your money IQ by changing the way you think.
N11930,movies,movies-gallery,The most talked about movie moments of the 2010s,"Let's try to emphasize the positive, but there's one particular sequence that was so special in its awfulness, it had to go on this list. See if you can guess which one it is."
N59841,foodanddrink,recipes,32 Things You Can Make in Your Air Fryer,"Looking for a healthier alternative to deep frying? Meet the air fryer, your new favorite gadget. Check out these air fryer recipes for crispy chicken wings, fried pickles, coconut shrimp and desserts, too! The post 34 Air Fryer Recipes You Need to Try appeared first on Taste of Home."
N5695,travel,travelarticle,RANKED: The 30 countries where expats are happiest,"The ranking, done by InterNations, is based on 20,000 expats' happiness with life in general and with their personal relationships."
N60675,lifestyle,lifestylepetsanimals,"60 of the Most Adorable Animal Pictures That Will Make You Say ""Awww""","These cute animal pictures will have you making puppy dog eyes at your computer screen. The post 60 of the Most Adorable Animal Pictures That Will Make You Say ""Awww"" appeared first on Reader's Digest."
N38690,finance,finance-insurance,Which state has the most uninsured residents?,Health insurance coverage by state
N4241,finance,finance-billstopay,Need Money? Check Out These Side-Hustle Apps,"When you need to bring in extra cash, a job app can be your ticket to finding the perfect side hustle."
N60550,entertainment,humor,Funny celeb pics for November 2019,Heidi Klum ain't no keto queen and more celeb pics that will make you LOL.
N39733,travel,traveltripideas,One New Thing to Check Out on Every Hawaiian Island,"From new stargazing opportunities to exclusive hotel experiences, visitors will love the new things Hawaii offers."
N29862,lifestyle,shop-holidays,66 Cool Tech Gifts Anyone Would Be Thrilled to Receive,"Let's face it: everyone wants the newest, coolest tech gadget on the market, and we don't blame 'em."
N41073,health,nutrition,The Secret to Sticking with Keto,"Is it possible to take a cheat day while on the keto diet? We asked the experts if this was possible, and if you would fall out of ketosis from one meal."
